type,id,geometry.type,geometry.coordinates,properties.id,properties.aqhi_type,properties.observation_type,properties.location_name_en,properties.location_name_fr,properties.location_id,properties.observation_datetime,properties.observation_datetime_text_en,properties.observation_datetime_text_fr,properties.aqhi,properties.special_notes_en,properties.special_notes_fr,properties.latest
Feature,AQ_OBS-IABOA-20260307230000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307230000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T23:00:00Z,4:00 PM MST Saturday  7 March 2026,4h00 PM HNR samedi  7 mars 2026,2.76,,,False
Feature,AQ_OBS-IABOA-20260307220000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307220000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T22:00:00Z,3:00 PM MST Saturday  7 March 2026,3h00 PM HNR samedi  7 mars 2026,2.78,,,False
Feature,AQ_OBS-IABOA-20260307210000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307210000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T21:00:00Z,2:00 PM MST Saturday  7 March 2026,2h00 PM HNR samedi  7 mars 2026,2.81,,,False
Feature,AQ_OBS-IABOA-20260307190000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307190000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T19:00:00Z,12:00 PM MST Saturday  7 March 2026,12h00 PM HNR samedi  7 mars 2026,2.76,,,False
Feature,AQ_OBS-IABOA-20260307180000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307180000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T18:00:00Z,11:00 AM MST Saturday  7 March 2026,11h00 AM HNR samedi  7 mars 2026,2.52,,,False
Feature,AQ_OBS-IABOA-20260307170000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307170000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T17:00:00Z,10:00 AM MST Saturday  7 March 2026,10h00 AM HNR samedi  7 mars 2026,2.4,,,False
Feature,AQ_OBS-IABOA-20260307140000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307140000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T14:00:00Z,7:00 AM MST Saturday  7 March 2026,7h00 AM HNR samedi  7 mars 2026,2.2,,,False
Feature,AQ_OBS-IABOA-20260307130000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307130000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T13:00:00Z,6:00 AM MST Saturday  7 March 2026,6h00 AM HNR samedi  7 mars 2026,2.19,,,False
Feature,AQ_OBS-IABOA-20260307120000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307120000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T12:00:00Z,5:00 AM MST Saturday  7 March 2026,5h00 AM HNR samedi  7 mars 2026,2.24,,,False
Feature,AQ_OBS-IABOA-20260307110000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307110000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T11:00:00Z,4:00 AM MST Saturday  7 March 2026,4h00 AM HNR samedi  7 mars 2026,2.34,,,False
